LON,LAT,Zona Sismica
11.7163,46.7847,0
11.7456,46.7851,0
11.7748,46.7856,0
11.8041,46.786,0
11.8334,46.7863,0
11.8626,46.7867,0
11.8919,46.7871,0
11.9212,46.7875,0
11.9504,46.7879,0
11.9797,46.7882,0
12.009,46.7886,0
12.0382,46.7889,0
12.0675,46.7893,0
12.0968,46.7896,1
12.126,46.7899,1
12.1553,46.7903,1
12.1845,46.7906,1
12.2138,46.7909,1
12.2431,46.7912,1
12.2723,46.7915,1
10.4306,46.7394,2
10.4598,46.7401,2
10.489,46.7409,2
10.5183,46.7416,2
10.5475,46.7423,1
10.5767,46.743,1
10.6059,46.7436,1
10.6352,46.7443,1
10.6644,46.745,1
10.6936,46.7457,1
10.7228,46.7463,1
10.7521,46.747,1
10.7813,46.7476,1
10.8106,46.7483,0
10.8398,46.7489,0
10.869,46.7495,0
10.8983,46.7501,0
10.9275,46.7507,0
10.9567,46.7513,0
10.9859,46.7519,0
11.0152,46.7525,0
11.0444,46.7531,0
11.0736,46.7537,0
11.1029,46.7543,0
11.1321,46.7548,0
11.1613,46.7554,0
11.1906,46.7559,0
11.2198,46.7565,0
11.2491,46.757,0
11.2783,46.7575,0
11.3076,46.758,0
11.3368,46.7586,0
11.3661,46.7591,0
11.3953,46.7596,0
11.4245,46.7601,0
11.4538,46.7606,0
11.483,46.761,0
11.5123,46.7615,0
11.5415,46.762,0
11.5707,46.7624,0
11.6,46.7629,0
11.6292,46.7633,0
11.6585,46.7638,0
11.6878,46.7642,0
11.717,46.7646,0
11.7463,46.765,0
11.7755,46.7655,0
11.8047,46.7659,0
11.834,46.7663,0
11.8632,46.7666,0
11.8925,46.767,0
11.9217,46.7674,0
11.951,46.7678,0
11.9802,46.7681,0
12.0095,46.7685,0
12.0387,46.7688,1
12.068,46.7692,1
12.0972,46.7695,1
12.1265,46.7698,1
12.1558,46.7702,1
12.185,46.7705,1
12.2142,46.7708,1
12.2435,46.7711,1
12.2728,46.7714,1
12.302,46.7717,1
12.3313,46.7719,1
10.4317,46.7193,2
10.4609,46.7201,2
10.4901,46.7208,2
10.5193,46.7215,2
10.5486,46.7222,1
10.5777,46.7229,1
